iter	Passed	Remaining
1296	35929	241087
1297	35955	241054
1298	35982	241019
1299	36010	240990
1300	36037	240957
1301	36064	240929
1302	36091	240897
1303	36118	240864
1304	36145	240832
1305	36173	240802
1306	36200	240774
1307	36228	240749
1308	36265	240784
1309	36293	240756
1310	36319	240718
1311	36346	240684
1312	36373	240650
1313	36400	240618
1314	36428	240594
1315	36455	240561
1316	36483	240533
1317	36509	240500
1318	36537	240469
1319	36564	240436
1320	36591	240406
1321	36618	240377
1322	36646	240346
1323	36673	240317
1324	36700	240285
1325	36728	240257
1326	36756	240234
1327	36784	240207
1328	36812	240182
1329	36840	240155
1330	36867	240125
1331	36896	240103
1332	36923	240073
1333	36950	240040
1334	36977	240005
1335	37004	239976
1336	37032	239946
1337	37061	239928
1338	37089	239904
1339	37117	239876
1340	37144	239846
1341	37172	239820
1342	37200	239792
1343	37227	239761
1344	37254	239727
1345	37281	239698
1346	37309	239672
1347	37337	239649
1348	37366	239628
1349	37394	239602
1350	37422	239578
1351	37450	239549
1352	37478	239523
1353	37506	239496
1354	37533	239467
1355	37560	239435
1356	37588	239411
1357	37616	239382
1358	37643	239353
1359	37671	239324
1360	37698	239295
1361	37726	239267
1362	37755	239245
1363	37783	239218
1364	37809	239183
1365	37836	239150
1366	37863	239120
1367	37890	239089
1368	37918	239061
1369	37945	239031
1370	37973	239002
1371	38000	238973
1372	38027	238940
1373	38054	238908
1374	38082	238882
1375	38110	238853
1376	38138	238826
1377	38165	238797
1378	38193	238772
1379	38221	238745
1380	38248	238716
1381	38275	238684
1382	38303	238653
1383	38330	238625
1384	38358	238596
1385	38385	238566
1386	38412	238535
1387	38440	238510
1388	38468	238481
1389	38495	238451
1390	38522	238418
1391	38549	238386
1392	38576	238356
1393	38603	238325
1394	38631	238296
1395	38659	238268
1396	38687	238243
1397	38714	238215
1398	38742	238185
1399	38769	238158
1400	38797	238126
1401	38825	238101
1402	38852	238072
1403	38880	238044
1404	38906	238009
1405	38934	237980
1406	38961	237952
1407	38989	237927
1408	39017	237901
1409	39045	237870
1410	39072	237839
1411	39099	237807
1412	39126	237779
1413	39154	237753
1414	39183	237730
1415	39210	237700
1416	39238	237673
1417	39266	237646
1418	39293	237616
1419	39320	237583
1420	39347	237550
1421	39374	237517
1422	39400	237485
1423	39436	237505
1424	39463	237475
1425	39491	237448
1426	39518	237418
1427	39545	237385
1428	39572	237353
1429	39600	237324
1430	39627	237295
1431	39654	237265
1432	39682	237239
1433	39710	237212
1434	39738	237184
1435	39766	237158
1436	39794	237132
1437	39821	237102
1438	39848	237072
1439	39876	237044
1440	39903	237013
1441	39931	236986
1442	39959	236959
1443	39986	236926
1444	40013	236895
1445	40043	236879
1446	40070	236853
1447	40098	236824
1448	40126	236796
1449	40153	236769
1450	40181	236741
1451	40208	236710
1452	40236	236680
1453	40263	236650
1454	40290	236620
1455	40318	236594
1456	40346	236569
1457	40373	236538
1458	40401	236509
1459	40428	236480
1460	40456	236453
1461	40483	236424
1462	40511	236394
1463	40539	236368
1464	40566	236340
1465	40594	236312
1466	40623	236289
1467	40651	236265
1468	40687	236283
1469	40714	236257
1470	40742	236226
1471	40769	236197
1472	40797	236169
1473	40824	236140
1474	40851	236110
1475	40880	236086
1476	40907	236055
1477	40935	236027
1478	40962	235998
1479	40990	235970
1480	41017	235940
1481	41044	235910
1482	41071	235879
1483	41099	235851
1484	41126	235821
1485	41154	235794
1486	41182	235765
1487	41210	235740
1488	41238	235715
1489	41265	235686
1490	41293	235660
1491	41322	235636
1492	41350	235609
1493	41377	235579
1494	41405	235551
1495	41433	235527
1496	41461	235500
1497	41488	235472
1498	41515	235441
1499	41543	235412
1500	41570	235383
1501	41598	235354
1502	41626	235327
1503	41653	235296
1504	41680	235265
1505	41711	235257
1506	41743	235254
1507	41771	235225
1508	41797	235191
1509	41825	235162
1510	41853	235136
1511	41880	235108
